time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778618857.589,9154.598,0.0,0.0,0.0,0.0
1778618858.091,9155.100,0.0,0.0,0.0,0.0
1778618858.592,9155.601,0.0,0.0,0.0,0.0
1778618859.094,9156.103,0.0,0.0,0.0,0.0
1778618859.595,9156.604,0.0,0.0,0.0,0.0
1778618860.097,9157.106,0.0,0.0,0.0,0.0
1778618860.598,9157.607,0.0,0.0,0.0,0.0
1778618861.100,9158.109,0.0,0.0,0.0,0.0
1778618861.601,9158.610,0.0,0.0,0.0,0.0
1778618862.103,9159.112,0.0,0.0,0.0,0.0
1778618862.604,9159.613,0.0,0.0,0.0,0.0
1778618863.106,9160.115,0.0,0.0,0.0,0.0
1778618863.608,9160.617,0.0,0.0,0.0,0.0
1778618864.110,9161.119,0.0,0.0,0.0,0.0
1778618864.611,9161.620,0.0,0.0,0.0,0.0
1778618865.113,9162.122,0.0,0.0,0.0,0.0
1778618865.614,9162.623,0.0,0.0,0.0,0.0
1778618866.116,9163.125,0.0,0.0,0.0,0.0
1778618866.617,9163.626,0.0,0.0,0.0,0.0
1778618867.119,9164.128,0.0,0.0,0.0,0.0
1778618867.620,9164.629,0.0,0.0,0.0,0.0
1778618868.122,9165.131,0.0,0.0,0.0,0.0
1778618868.623,9165.632,0.0,0.0,0.0,0.0
1778618869.125,9166.134,0.0,0.0,0.0,0.0
1778618869.626,9166.635,0.0,0.0,0.0,0.0
1778618870.127,9167.137,0.0,0.0,0.0,0.0
1778618870.629,9167.638,0.0,0.0,0.0,0.0
1778618871.130,9168.140,0.0,0.0,0.0,0.0
1778618871.632,9168.641,0.0,0.0,0.0,0.0
1778618872.133,9169.143,0.0,0.0,0.0,0.0
1778618872.635,9169.644,0.0,0.0,0.0,0.0
1778618873.137,9170.146,0.0,0.0,0.0,0.0
1778618873.638,9170.647,0.0,0.0,0.0,0.0
1778618874.090,9171.099,0.0,0.0,0.0,0.0
1778618874.591,9171.600,0.0,0.0,0.0,0.0
1778618875.093,9172.102,0.0,0.0,0.0,0.0
1778618875.594,9172.603,0.0,0.0,0.0,0.0
1778618876.096,9173.105,0.0,0.0,0.0,0.0
