time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778210201.911,4564.583,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210202.913,4565.586,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210203.918,4566.590,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210204.921,4567.594,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210205.925,4568.597,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210206.928,4569.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210207.931,4570.603,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210208.884,4571.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210209.887,4572.560,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210210.891,4573.563,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210211.895,4574.567,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210212.900,4575.572,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210213.902,4576.575,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210214.907,4577.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210215.911,4578.583,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210216.914,4579.586,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210217.917,4580.589,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210218.923,4581.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210219.928,4582.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210220.930,4583.603,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210221.885,4584.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210222.889,4585.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210223.892,4586.565,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210224.898,4587.570,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210225.901,4588.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210226.904,4589.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210227.907,4590.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210228.910,4591.582,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210229.913,4592.585,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210230.916,4593.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210231.920,4594.592,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210232.923,4595.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210233.927,4596.599,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210234.930,4597.602,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210235.884,4598.556,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210236.887,4599.559,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210237.891,4600.563,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210238.894,4601.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210239.897,4602.569,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210240.901,4603.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210241.904,4604.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210242.909,4605.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210243.914,4606.586,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210244.917,4607.589,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210245.920,4608.592,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210246.923,4609.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210247.927,4610.599,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210248.929,4611.602,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210249.882,4612.555,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210250.887,4613.559,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210251.890,4614.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210252.893,4615.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210253.897,4616.569,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210254.901,4617.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210255.904,4618.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210256.907,4619.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210257.911,4620.583,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210258.915,4621.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210259.918,4622.591,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210260.923,4623.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210261.927,4624.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210262.931,4625.603,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210263.884,4626.556,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210264.887,4627.559,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210265.891,4628.564,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210266.894,4629.567,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210267.897,4630.570,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210268.901,4631.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210269.905,4632.578,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210270.909,4633.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210271.913,4634.585,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210272.917,4635.589,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210273.921,4636.593,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210274.924,4637.596,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210275.928,4638.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210276.932,4639.604,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210277.885,4640.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210278.888,4641.560,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210279.891,4642.563,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210280.895,4643.567,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210281.897,4644.570,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210282.902,4645.574,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210283.905,4646.577,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210284.908,4647.580,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210285.912,4648.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210286.917,4649.590,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210287.922,4650.594,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210288.925,4651.597,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210289.929,4652.601,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210290.932,4653.604,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210291.884,4654.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210292.888,4655.560,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210293.892,4656.564,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210294.895,4657.568,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210295.899,4658.571,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210296.903,4659.575,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210297.907,4660.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210298.910,4661.582,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210299.913,4662.585,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210300.917,4663.589,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210301.921,4664.593,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210302.924,4665.596,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210303.929,4666.601,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210304.932,4667.604,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210305.885,4668.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210306.890,4669.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210307.892,4670.565,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210308.896,4671.568,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210309.898,4672.571,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210310.902,4673.574,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210311.905,4674.577,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210312.908,4675.580,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210313.912,4676.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210314.915,4677.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210315.920,4678.592,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210316.922,4679.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210317.925,4680.597,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210318.928,4681.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210319.931,4682.604,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210320.885,4683.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210321.888,4684.560,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210322.892,4685.565,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210323.895,4686.567,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210324.899,4687.571,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210325.904,4688.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210326.908,4689.580,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210327.912,4690.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210328.916,4691.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210329.920,4692.592,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210330.923,4693.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210331.926,4694.598,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210332.929,4695.601,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210333.883,4696.555,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210334.886,4697.559,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210335.890,4698.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210336.894,4699.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210337.897,4700.569,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210338.901,4701.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210339.905,4702.577,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210340.908,4703.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210341.911,4704.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210342.915,4705.587,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210343.919,4706.591,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210344.923,4707.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210345.926,4708.598,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210346.929,4709.601,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210347.882,4710.555,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210348.886,4711.558,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210349.889,4712.561,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210350.893,4713.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210351.899,4714.571,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210352.902,4715.574,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210353.906,4716.578,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210354.909,4717.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210355.912,4718.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210356.915,4719.587,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210357.918,4720.590,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210358.921,4721.593,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210359.925,4722.597,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210360.928,4723.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210361.932,4724.604,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210362.884,4725.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210363.887,4726.560,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210364.890,4727.563,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210365.894,4728.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
