time_unix,monotonic,press_abs,press_diff,temperature,baro_alt,climb,airspeed,groundspeed
1778607252.677,3000.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607253.679,3001.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607254.682,3002.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607255.685,3003.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607256.638,3004.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607257.641,3005.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607258.644,3006.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607259.647,3007.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607260.650,3008.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607261.653,3009.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607262.655,3010.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607263.658,3011.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607264.661,3012.460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607265.664,3013.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607266.667,3014.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607267.670,3015.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607268.673,3016.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607269.676,3017.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607270.679,3018.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607271.682,3019.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607272.685,3020.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607273.638,3021.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607274.641,3022.440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607275.644,3023.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607276.647,3024.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607277.650,3025.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607278.653,3026.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607279.656,3027.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607280.659,3028.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607281.662,3029.460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607282.664,3030.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607283.667,3031.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607284.670,3032.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607285.673,3033.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607286.676,3034.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607287.679,3035.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607288.682,3036.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607289.685,3037.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607290.638,3038.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607291.641,3039.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607292.644,3040.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607293.647,3041.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607294.649,3042.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607295.652,3043.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607296.655,3044.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607297.658,3045.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607298.661,3046.460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607299.664,3047.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607300.667,3048.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607301.670,3049.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607302.674,3050.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607303.677,3051.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607304.681,3052.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607305.684,3053.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607306.687,3054.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607307.640,3055.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
