time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778259593.452,1542.408,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259593.954,1542.910,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259594.405,1543.361,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259594.907,1543.863,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259595.409,1544.365,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259595.910,1544.866,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259596.412,1545.368,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259596.913,1545.869,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259597.415,1546.371,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259597.917,1546.873,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259598.418,1547.374,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259598.920,1547.876,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259599.421,1548.377,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259599.923,1548.879,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259600.425,1549.381,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259600.926,1549.882,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259601.428,1550.384,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259601.930,1550.886,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259602.431,1551.387,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259602.932,1551.888,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259603.434,1552.390,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259603.935,1552.891,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259604.437,1553.393,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259604.939,1553.895,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259605.441,1554.397,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259605.942,1554.898,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259606.443,1555.399,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259606.945,1555.901,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259607.446,1556.402,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259607.948,1556.904,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259608.449,1557.405,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259608.951,1557.907,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259609.452,1558.408,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259609.954,1558.910,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259610.405,1559.361,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259610.906,1559.862,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259611.409,1560.365,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259611.912,1560.868,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259612.414,1561.370,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259612.915,1561.871,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259613.417,1562.373,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259613.918,1562.874,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259614.420,1563.376,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259614.922,1563.878,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259615.423,1564.379,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259615.925,1564.881,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259616.426,1565.382,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259616.928,1565.884,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259617.429,1566.385,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259617.931,1566.887,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259618.433,1567.389,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
