time_unix,monotonic,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1778616079.023,6376.032,0.0,0.0,0.0,0.0,0.0,0.0
1778616079.273,6376.283,0.0,0.0,0.0,0.0,0.0,0.0
1778616079.524,6376.533,0.0,0.0,0.0,0.0,0.0,0.0
1778616079.775,6376.784,0.0,0.0,0.0,0.0,0.0,0.0
1778616080.026,6377.035,0.0,0.0,0.0,0.0,0.0,0.0
1778616080.276,6377.285,0.0,0.0,0.0,0.0,0.0,0.0
1778616080.527,6377.536,0.0,0.0,0.0,0.0,0.0,0.0
1778616080.778,6377.787,0.0,0.0,0.0,0.0,0.0,0.0
1778616081.029,6378.038,0.0,0.0,0.0,0.0,0.0,0.0
1778616081.279,6378.288,0.0,0.0,0.0,0.0,0.0,0.0
1778616081.530,6378.539,0.0,0.0,0.0,0.0,0.0,0.0
1778616081.781,6378.790,0.0,0.0,0.0,0.0,0.0,0.0
1778616082.032,6379.041,0.0,0.0,0.0,0.0,0.0,0.0
1778616082.282,6379.291,0.0,0.0,0.0,0.0,0.0,0.0
1778616082.533,6379.542,0.0,0.0,0.0,0.0,0.0,0.0
1778616082.784,6379.793,0.0,0.0,0.0,0.0,0.0,0.0
1778616083.035,6380.044,0.0,0.0,0.0,0.0,0.0,0.0
1778616083.285,6380.294,0.0,0.0,0.0,0.0,0.0,0.0
1778616083.536,6380.545,0.0,0.0,0.0,0.0,0.0,0.0
1778616083.787,6380.796,0.0,0.0,0.0,0.0,0.0,0.0
1778616084.038,6381.047,0.0,0.0,0.0,0.0,0.0,0.0
1778616084.288,6381.297,0.0,0.0,0.0,0.0,0.0,0.0
1778616084.489,6381.498,0.0,0.0,0.0,0.0,0.0,0.0
1778616084.740,6381.749,0.0,0.0,0.0,0.0,0.0,0.0
1778616084.990,6381.999,0.0,0.0,0.0,0.0,0.0,0.0
1778616085.241,6382.250,0.0,0.0,0.0,0.0,0.0,0.0
1778616085.492,6382.501,0.0,0.0,0.0,0.0,0.0,0.0
1778616085.742,6382.752,0.0,0.0,0.0,0.0,0.0,0.0
1778616085.993,6383.002,0.0,0.0,0.0,0.0,0.0,0.0
1778616086.244,6383.253,0.0,0.0,0.0,0.0,0.0,0.0
1778616086.495,6383.504,0.0,0.0,0.0,0.0,0.0,0.0
1778616086.745,6383.755,0.0,0.0,0.0,0.0,0.0,0.0
1778616086.996,6384.005,0.0,0.0,0.0,0.0,0.0,0.0
1778616087.247,6384.256,0.0,0.0,0.0,0.0,0.0,0.0
1778616087.498,6384.507,0.0,0.0,0.0,0.0,0.0,0.0
1778616087.748,6384.758,0.0,0.0,0.0,0.0,0.0,0.0
1778616087.999,6385.008,0.0,0.0,0.0,0.0,0.0,0.0
1778616088.250,6385.259,0.0,0.0,0.0,0.0,0.0,0.0
1778616088.501,6385.510,0.0,0.0,0.0,0.0,0.0,0.0
1778616088.751,6385.760,0.0,0.0,0.0,0.0,0.0,0.0
1778616089.002,6386.011,0.0,0.0,0.0,0.0,0.0,0.0
1778616089.253,6386.262,0.0,0.0,0.0,0.0,0.0,0.0
